tema,articulo,contenido
constitución política costa rica,ARTÍCULO 1.-,"Costa Rica es una República democrática, 
libre e independiente."
constitución política costa rica,ARTÍCULO 2.-,"La Soberanía reside exclusivamente en la 
Nación."
constitución política costa rica,ARTÍCULO 3.-,"Nadie puede arrogarse la soberanía; el 
que lo hiciere cometerá el delito de traición a la Patria."
constitución política costa rica,ARTÍCULO 4.-,"Ninguna persona o reunión de personas 
puede asumir la representación del pueblo, arrogarse sus 
derechos, o hacer peticiones a su nombre. La infracción a 
                              CONSTITUCIÓN POLÍTICA
10
este artículo será sedición."
constitución política costa rica,ARTÍCULO 5.-,"El territorio nacional está comprendido 
entre el Mar Caribe, el Océano Pacífico y las Repúblicas 
de Nicaragua y Panamá. Los límites de la República son 
los que determina el Tratado Cañas-Jeréz del 15 de abril 
de 1858, ratificado por el Laudo Cleveland del 22 de marzo 
de 1888, con respecto a Nicaragua, y el Tratado Echandi 
Montero-Fernández Jaén de 1 de mayo de 1941 en lo que 
concierne a Panamá.
La Isla del Coco, situada en el Océano Pacífico, forma 
parte del territorio nacional."
constitución política costa rica,ARTÍCULO 6.-,"El Estado ejerce la soberanía completa 
y exclusiva en el espacio aéreo de su territorio, en sus 
aguas territoriales en una distancia de doce millas a partir 
de la línea de baja mar a lo largo de sus costas, en su 
plataforma continental y en su zócalo insular de acuerdo 
con los principios del Derecho Internacional.
	
Ejerce además, una jurisdicción especial sobre 
los mares adyacentes a su territorio en una extensión 
de doscientas millas a partir de la misma línea, a fin de 
proteger, conservar y explotar con exclusividad todos los 
recursos y riquezas naturales existentes en las aguas, el 
suelo y el subsuelo de esas zonas, de conformidad con 
aquellos principios.
(Así reformado por Ley No. 5699 del 5 de junio de 
1975.)"
constitución política costa rica,ARTÍCULO 7.-,"Los tratados públicos, los convenios 
internacionales 
y 
los 
concordatos, 
debidamente 
aprobados por la Asamblea Legislativa, tendrán desde su 
                  CONSTITUCIÓN POLÍTICA
11
promulgación o desde el día que ellos designen, autoridad 
superior a las leyes.
	
Los 
tratados 
públicos 
y 
los 
convenios 
internacionales 
referentes a la integridad territorial o la organización 
política del país, requerirán aprobación de la Asamblea 
Legislativa, por votación no menor de las tres cuartas 
partes de la totalidad de sus miembros, y la de los dos 
tercios de los miembros de una Asamblea Constituyente, 
convocada al efecto.
(Así reformado por Ley No. 4123 del 31 de mayo de 
1968.)"
constitución política costa rica,ARTÍCULO 8.-,"Los estados extranjeros sólo podrán 
adquirir en el territorio de la República, sobre bases de 
reciprocidad, los inmuebles necesarios para sede de sus 
representaciones diplomáticas, sin perjuicio de lo que 
establezcan los convenios internacionales."
constitución política costa rica,ARTÍCULO 9.-,"El Gobierno de la República es popular, 
representativo, participativo, alternativo y responsable.  Lo 
ejercen el pueblo y tres Poderes distintos e independientes 
entre sí:  el Legislativo, el Ejecutivo y el Judicial.
(Este primer párrafo del artículo 9,  fue  reformado  por 
el  artículo  único  de  la  Ley  N° 8364, de 1º de julio de 
2003.  Publicada en La Gaceta N° 146, de 31 de julio 
de 2003.)
	
Ninguno de los Poderes puede delegar el ejercicio 
de funciones que le son propias.
	
Un Tribunal Supremo de Elecciones, con el rango e 
independencia 
de 
los 
Poderes 
 
del 
Estado, 
tiene 
a 
su 
cargo 
en 
forma 
exclusiva 
e 
independiente 
la 
organización, 
dirección 
y 
                              CONSTITUCIÓN POLÍTICA
12
vigilancia de los actos relativos al sufragio, así como las 
demás funciones que le atribuyen esta Constitución y las 
leyes.
(El párrafo final fue adicionado por Ley No. 5704 del 5 
de junio de 1975.)"
constitución política costa rica,ARTÍCULO 10.-,"Corresponderá a una Sala especializada 
de la Corte  Suprema de Justicia declarar, por mayoría 
absoluta de sus miembros, la inconstitucionalidad de las 
normas de cualquier naturaleza y de los actos sujetos al 
Derecho Público. No serán impugnables en esta vía los 
actos jurisdiccionales del Poder Judicial, la declaratoria 
de elección que haga el Tribunal Supremo de Elecciones 
y los demás que determine la ley.
	
Le corresponderá además:
a) Dirimir los conflictos de competencia entre los poderes 
del Estado, incluido el Tribunal Supremo de Elecciones, 
así como con las demás entidades y órganos que indique 
la ley.
b) Conocer de las consultas sobre proyectos de reforma 
constitucional, de aprobación de convenios o tratados 
internacionales y de otros proyectos de ley, según se 
disponga en la ley.
(Así reformado por Ley No. 7128 del 18 de agosto de 1989. 
Véase además el Transitorio a este artículo, incluido infra, 
en la parte de Disposiciones Transitorias.)"
constitución política costa rica,ARTÍCULO 11.-,"Los funcionarios públicos son simples 
depositarios de la autoridad.  Están obligados a cumplir 
los deberes que la ley les impone y no pueden arrogarse 
facultades no concedidas en ella. Deben prestar juramento 
                  CONSTITUCIÓN POLÍTICA
13
de observar y cumplir esta Constitución y las leyes.  La 
acción para exigirles la responsabilidad penal por sus 
actos es pública.
	
La Administración Pública en sentido amplio, 
estará sometida a un procedimiento de evaluación de 
resultados y rendición de cuentas, con la consecuente 
responsabilidad personal para los funcionarios en el 
cumplimiento de sus deberes.  La ley señalará los medios 
para que este control de resultados y rendición de cuentas 
opere como un sistema que cubra  todas las instituciones 
públicas.
(Así reformado por la Ley No. 8003 del 8 de junio del 
2000.)"
constitución política costa rica,ARTÍCULO 12.-,"Se proscribe el Ejército como institución 
permanente.
	
Para la vigilancia y conservación del orden público, 
habrá las fuerzas de policía necesarias.
        Sólo por convenio continental o para la defensa 
nacional podrán organizarse fuerzas militares; unas y otras 
estarán siempre subordinadas al poder civil: no podrán 
deliberar, ni hacer manifestaciones o declaraciones en 
forma individual o colectiva.
TÍTULO II
LOS COSTARRICENSES
Capítulo Único"
constitución política costa rica,ARTÍCULO 13.-,"Son costarricenses por nacimiento:
                              CONSTITUCIÓN POLÍTICA
14
1) El hijo de padre o madre costarricense nacido en el 
territorio de la República;
2) El hijo de padre o madre costarricense por nacimiento, 
que nazca en el extranjero, y se inscriba como tal en el 
Registro Civil, por la voluntad del progenitor costarricense, 
mientras sea menor de edad, o por la propia hasta cumplir 
veinticinco años;
3) El hijo de padres extranjeros nacido en Costa Rica que 
se inscriba como costarricense, por voluntad de cualquiera 
de sus progenitores mientras sea menor de edad, o por la 
propia hasta cumplir veinticinco años;
4) El infante, de padres ignorados, encontrado en Costa 
Rica."
constitución política costa rica,ARTÍCULO 14.-,"Son costarricenses por naturalización:
1) Los que hayan adquirido esta nacionalidad en virtud de 
leyes anteriores.
2) Los nacionales de otros países de Centroamérica, 
los españoles y los iberoamericanos por nacimiento que 
hayan residido oficialmente en el país durante cinco años 
y que cumplan con los demás requisitos que fije la ley.
3) 
Los 
centroamericanos, 
los 
españoles 
y 
los 
                  CONSTITUCIÓN POLÍTICA
15
iberoamericanos que no lo sean por nacimiento y los 
demás extranjeros que hayan residido oficialmente en el 
país durante siete años como mínimo y que cumplan con 
los demás requisitos que fije la ley.
4) La mujer extranjera que al contraer matrimonio con 
costarricense pierde su nacionalidad.
5) Las personas extranjeras que al casarse con 
costarricenses pierdan su nacionalidad o que luego de 
haber estado casadas dos años con costarricenses, y de 
residir por ese mismo período en el país, manifiesten su 
deseo de adquirir la nacionalidad costarricense.
(Así reformado por la Ley No. 7879 del 27 de mayo de 
1999).
6) Quienes ostenten la nacionalidad honorífica otorgada 
por la Asamblea Legislativa.
(Así reformado por Ley No. 7065 del 21 de mayo de 
1987)."
constitución política costa rica,ARTÍCULO 15.-,"Quien solicite la naturalización deberá: 
acreditar su buena conducta, demostrar que tiene oficio o 
medio de vivir conocido, que sabe hablar, escribir y leer el 
idioma español, someterse a un examen comprensivo de 
la historia del país y sus valores, prometer que residirá en 
el territorio nacional de modo regular y jurar que respetará 
el orden constitucional de la República.
                              CONSTITUCIÓN POLÍTICA
16
	
Por medio de ley se establecerán los requisitos y la 
forma para tramitar la solicitud de naturalización.
(Así reformado por Ley No. 7065 del 21 de mayo de 
1987.)"
constitución política costa rica,ARTÍCULO 16.-,"La calidad de costarricense no se pierde 
y es irrenunciable.
(Así reformado por Ley No. 7514 del 6 de junio de 
1995. NOTA: véase infra, artículo transitorio, de este 
numeral.)"
constitución política costa rica,ARTÍCULO 17.-,"La adquisición de la nacionalidad 
trasciende a los hijos menores de edad, conforme a la 
reglamentación establecida en la ley.
(Así reformado por  Ley No. 7514 del 6 de junio de 
1995.)"
constitución política costa rica,ARTÍCULO 18.-,"Los costarricenses deben observar la 
Constitución y las leyes, servir a la Patria, defenderla y 
contribuir para los gastos públicos.
TÍTULO III
LOS EXTRANJEROS
Capítulo Único"
constitución política costa rica,ARTÍCULO 19.-,"Los extranjeros tienen los mismos deberes 
y derechos individuales y sociales que los costarricenses, 
con las excepciones y limitaciones que esta Constitución 
                  CONSTITUCIÓN POLÍTICA
17
y las leyes establecen.
	
No pueden intervenir en los asuntos políticos del 
país, y están sometidos a la jurisdicción de los tribunales 
de justicia y de las autoridades de la República, sin que 
puedan ocurrir a la vía diplomática, salvo lo que dispongan 
los convenios internacionales.
TÍTULO IV
DERECHOS Y GARANTÍAS INDIVIDUALES
Capítulo Único"
constitución política costa rica,ARTÍCULO 20.-,"Toda persona es libre en la República, 
quien se halle bajo la protección de sus leyes no  podrá 
ser esclavo ni esclava.
(Así reformado por Ley No. 7880 del 27 de mayo de 
1999.)"
constitución política costa rica,ARTÍCULO 21.-,La vida humana es inviolable.
constitución política costa rica,ARTÍCULO 22.-,"Todo costarricense puede trasladarse y 
permanecer en cualquier punto de la República o fuera de 
ella, siempre que se encuentre libre de responsabilidad, y 
volver cuando le convenga.
	
No se podrá exigir a los costarricenses requisitos 
que impidan su ingreso al país."
constitución política costa rica,ARTÍCULO 23.-,"El domicilio y todo otro recinto privado 
de los habitantes de la República son inviolables. No 
obstante pueden ser allanados por orden escrita de juez 
competente, o para impedir la comisión o impunidad 
de delitos, o evitar daños graves a las personas o a la 
                              CONSTITUCIÓN POLÍTICA
18
propiedad, con sujeción a lo que prescribe la ley."
